"State.Name","English.Speaker","Year","State.Code","Total.Math","Total.Test.takers","Total.Verbal","Academic.Subjects.English.Average.GPA","Academic.Subjects.English.Average.Years","Academic.Subjects.Foreign.Languages.Average.GPA","Academic.Subjects.Foreign.Languages.Average.Years","Academic.Subjects.Mathematics.Average.GPA","Academic.Subjects.Mathematics.Average.Years","Family.Income.Between.20.40k.Math","Family.Income.Between.20.40k.Test.takers","Family.Income.Between.20.40k.Verbal","Family.Income.Between.40.60k.Math","Family.Income.Between.40.60k.Test.takers","Family.Income.Between.40.60k.Verbal","Family.Income.Between.60.80k.Math","Family.Income.Between.60.80k.Test.takers","Family.Income.Between.60.80k.Verbal","Family.Income.Between.80.100k.Math","Family.Income.Between.80.100k.Test.takers","Family.Income.Between.80.100k.Verbal","Family.Income.Less.than.20k.Math","Family.Income.Less.than.20k.Test.takers","Family.Income.Less.than.20k.Verbal","Family.Income.More.than.100k.Math","Family.Income.More.than.100k.Test.takers","Family.Income.More.than.100k.Verbal","Gender.Female.Test.takers","Gender.Male.Test.takers","Gender.Female.Math","Gender.Male.Math","Gender.Female.Verbal","Gender.Male.Verbal","Region"
"Alabama","0.04",2005,"AL",559,3985,567,3.53,3.9,3.54,2.6,3.41,4,513,324,527,539,442,551,550,473,564,566,475,577,462,175,474,588,980,590,2072,1913,538,582,561,574,"South"
"Alaska","0.12",2005,"AK",519,3996,523,3.35,3.9,3.34,2.1,3.06,3.5,492,401,500,517,539,522,513,603,519,528,444,534,464,191,467,541,540,544,2161,1835,505,535,521,526,"West"
"Arizona","0.29",2005,"AZ",530,18184,526,3.45,3.9,3.41,2.6,3.25,3.9,498,2121,495,520,2270,518,524,2372,523,534,1866,533,485,891,474,554,3083,546,9806,8378,513,549,522,531,"West"
"Arkansas","0.07",2005,"AR",552,1600,563,3.61,4,3.64,2.6,3.46,4.1,513,180,526,543,245,555,553,227,570,570,147,580,489,107,486,572,314,589,859,741,536,570,558,570,"South"
"California","0.44",2005,"CA",522,186552,504,3.32,3.8,3.29,2.8,3.05,3.7,477,26161,458,506,18347,494,521,17937,511,535,14120,525,451,19323,421,566,27984,551,102944,83608,504,543,499,510,"West"
"Connecticut","0.17",2005,"CT",517,34313,517,3.13,3.9,3.03,3.1,3,3.8,463,2958,467,493,3186,499,507,3772,511,523,3018,523,434,1612,426,565,5952,559,17857,16456,502,534,513,520,"Northeast"
"Colorado","0.18",2005,"CO",560,11990,560,3.49,4,3.41,3.1,3.33,3.9,533,948,535,543,1287,548,553,1550,552,562,1427,560,514,324,505,574,2662,568,6407,5583,546,577,558,561,"West"
"Delaware","0.12",2005,"DE",502,6257,503,3.21,3.9,3.18,2.7,3.07,3.8,449,762,454,481,802,487,497,833,501,512,592,510,411,373,410,554,939,550,3428,2829,486,521,498,508,"South"
"Florida","0.25",2005,"FL",498,93505,498,3.29,3.8,3.3,2.4,3.07,3.8,471,14713,473,492,12010,496,504,10455,505,516,7196,517,433,8728,431,544,10939,538,51134,42371,484,516,496,502,"South"
"Georgia","0.11",2005,"GA",496,59842,497,3.3,3.8,3.31,2.4,3.12,3.9,459,8476,462,482,7755,487,499,7377,503,516,5196,517,425,5003,423,546,8345,541,32340,27502,482,514,493,501,"South"
"Idaho","0.1",2005,"ID",542,3506,544,3.5,3.9,3.48,2.4,3.31,3.8,520,498,525,534,552,533,539,502,544,552,343,552,519,181,511,561,489,564,1835,1671,528,557,539,548,"West"
"Hawaii","0.16",2005,"HI",516,7878,490,3.21,3.9,3.31,2.5,2.98,3.8,487,1120,465,503,1175,480,512,1053,489,535,689,510,456,647,432,565,751,535,4307,3571,503,531,489,491,"West"
"Illinois","0.21",2005,"IL",606,12970,594,3.55,4,3.5,3.4,3.42,4,569,857,556,583,1154,571,595,1310,590,607,1369,601,544,373,520,622,3742,608,6756,6214,586,627,590,599,"Midwest"
"Indiana","0.08",2005,"IN",508,41553,504,3.25,3.9,3.17,2.8,3.03,3.8,478,6018,477,499,7189,496,508,6939,505,524,4260,516,451,2430,447,548,4984,538,22516,19037,491,529,498,510,"Midwest"
"Iowa","0.08",2005,"IA",608,1671,596,3.75,4.1,3.68,3.5,3.6,4,585,145,564,596,198,589,622,227,610,623,204,611,276,52,524,620,375,609,848,823,584,632,591,602,"Midwest"
"Kansas","0.11",2005,"KS",588,2667,585,3.62,4,3.57,3,3.49,3.9,558,225,554,574,267,582,585,331,580,597,321,599,537,77,508,599,676,594,1387,1280,568,610,583,588,"Midwest"
"Kentucky","0.05",2005,"KY",559,4666,561,3.57,3.9,3.57,2.9,3.46,4,520,412,528,544,544,549,553,660,557,562,543,567,500,160,479,579,1060,577,2452,2214,539,582,555,567,"South"
"Louisiana","0.05",2005,"LA",562,3290,565,3.46,4,3.46,2.8,3.34,4.1,497,366,505,549,344,563,560,397,563,574,315,581,470,203,463,598,693,594,1787,1503,544,583,557,574,"South"
"Maine","0.06",2005,"ME",505,10985,509,3.28,3.9,3.26,2.8,3.12,3.8,485,1667,491,498,1891,504,509,1633,513,524,882,527,458,746,463,547,940,544,5924,5061,487,527,504,515,"Northeast"
"Maryland","0.13",2005,"MD",515,44458,511,3.22,3.9,3.16,2.8,3.02,3.8,459,4843,455,486,4772,486,510,5117,508,530,4371,528,419,2529,413,569,8149,561,23988,20470,500,533,508,515,"South"
"Michigan","0.09",2005,"MI",579,10965,568,3.62,4,3.58,3,3.45,3.9,525,846,521,551,1176,546,571,1322,565,586,1216,576,495,414,481,605,2819,590,5787,5178,559,601,563,574,"Midwest"
"Massachusetts","0.19",2005,"MA",527,59104,520,3.13,3.9,3.08,3.1,2.99,3.9,481,5461,476,506,5890,503,517,6520,516,534,5117,530,449,3582,427,573,8154,562,31057,28047,511,545,515,525,"Northeast"
